route_id,trip_id,trip_headsign,direction_id
B,083550_B..S65R,Brighton Beach,1
B,084050_B..N65R,Bedford Park Blvd,0
B,084400_B..S66R,Brighton Beach,1
B,084850_B..N66R,145 St,0
B,085150_B..S65R,Brighton Beach,1
B,085600_B..N65R,Bedford Park Blvd,0
B,086100_B..S66R,Brighton Beach,1
B,086450_B..N66R,145 St,0
B,086750_B..S65R,Brighton Beach,1
B,087200_B..N65R,Bedford Park Blvd,0
B,087700_B..S66R,Brighton Beach,1
B,088050_B..N66R,145 St,0
B,088350_B..S65R,Brighton Beach,1
B,088850_B..N65R,Bedford Park Blvd,0
B,089300_B..S66R,Brighton Beach,1
B,089600_B..N66R,145 St,0
B,089950_B..S65R,Brighton Beach,1
B,090450_B..N65R,Bedford Park Blvd,0
B,090900_B..S66R,Brighton Beach,1
B,091050_B..N65R,Bedford Park Blvd,0
B,091550_B..S65R,Brighton Beach,1
B,091850_B..N65R,Bedford Park Blvd,0
B,092500_B..S66R,Brighton Beach,1
B,092750_B..N65R,Bedford Park Blvd,0
B,093150_B..S65R,Brighton Beach,1
B,093550_B..N65R,Bedford Park Blvd,0
B,094100_B..S66R,Brighton Beach,1
B,094650_B..N65R,Bedford Park Blvd,0
B,094750_B..S65R,Brighton Beach,1
B,095650_B..N65R,Bedford Park Blvd,0
B,095700_B..S66R,Brighton Beach,1
B,095800_B..S65R,Brighton Beach,1
B,096550_B..S65R,Brighton Beach,1
B,096650_B..N65R,Bedford Park Blvd,0
B,097600_B..N65R,Bedford Park Blvd,0
B,097700_B..S65R,Brighton Beach,1
B,098300_B..S65R,Brighton Beach,1
B,098850_B..N65R,Bedford Park Blvd,0
B,099050_B..S65R,Brighton Beach,1
B,099700_B..N65R,Bedford Park Blvd,0
B,099750_B..S65R,Brighton Beach,1
B,100350_B..S65R,Brighton Beach,1
B,100700_B..S65R,Brighton Beach,1
B,100850_B..N65R,Bedford Park Blvd,0
B,101350_B..S65R,Brighton Beach,1
B,101700_B..N65R,Bedford Park Blvd,0
B,101700_B..S65R,Brighton Beach,1
B,102750_B..S65R,Brighton Beach,1
B,102900_B..N65R,Bedford Park Blvd,0
B,103450_B..S65R,Brighton Beach,1
B,103850_B..N65R,Bedford Park Blvd,0
B,104400_B..S65R,Brighton Beach,1
B,104850_B..N65R,Bedford Park Blvd,0
B,105350_B..S65R,Brighton Beach,1
B,105700_B..S65R,Brighton Beach,1
B,105850_B..N65R,Bedford Park Blvd,0
B,106700_B..S65R,Brighton Beach,1
B,106850_B..N65R,Bedford Park Blvd,0
B,107600_B..S65R,Brighton Beach,1
B,107650_B..N66R,145 St,0
B,108500_B..S65R,Brighton Beach,1
B,108700_B..N66R,145 St,0
B,109650_B..S65R,Brighton Beach,1
B,109700_B..N66R,145 St,0
B,110700_B..N66R,145 St,0
B,110850_B..S65R,Brighton Beach,1
B,111700_B..N66R,145 St,0
B,111700_B..S65R,Brighton Beach,1
B,112400_B..N66R,145 St,0
B,113200_B..N66R,145 St,0
B,114200_B..N66R,145 St,0
B,114500_B..S66R,Brighton Beach,1
B,115200_B..N66R,145 St,0
B,115500_B..S66R,Brighton Beach,1
B,116200_B..N66R,145 St,0
B,116500_B..S66R,Brighton Beach,1
B,117200_B..N66R,145 St,0
B,117500_B..S66R,Brighton Beach,1
B,118000_B..N66R,145 St,0
B,118500_B..S66R,Brighton Beach,1
B,119200_B..N66R,145 St,0
B,119500_B..S66R,Brighton Beach,1
B,120200_B..N66R,145 St,0
B,120500_B..S66R,Brighton Beach,1
B,121200_B..N66R,145 St,0
B,121500_B..S66R,Brighton Beach,1
B,122200_B..N66R,145 St,0
B,122500_B..S66R,Brighton Beach,1
B,123200_B..N66R,145 St,0
B,123500_B..S66R,Brighton Beach,1
B,124300_B..N66R,145 St,0
B,124500_B..S66R,Brighton Beach,1
B,125350_B..N66R,145 St,0
B,125500_B..S66R,Brighton Beach,1
B,126350_B..N66R,145 St,0
B,126500_B..S66R,Brighton Beach,1
B,127350_B..N66R,145 St,0
B,127500_B..S66R,Brighton Beach,1
C,033900_C..S04R,Euclid Av,1
C,035300_C..N04R,168 St,0
C,035900_C..S04R,Euclid Av,1
C,037300_C..N04R,168 St,0
C,037900_C..S04R,Euclid Av,1
C,039300_C..N04R,168 St,0
C,039900_C..S04R,Euclid Av,1
C,041150_C..N04R,168 St,0
C,041450_C..S04R,Euclid Av,1
C,042550_C..N04R,168 St,0
C,042800_C..S04R,Euclid Av,1
C,044000_C..S04R,Euclid Av,1
C,044350_C..N04R,168 St,0
C,045200_C..S04R,Euclid Av,1
C,045550_C..N04R,168 St,0
C,046400_C..S04R,Euclid Av,1
C,046750_C..N04R,168 St,0
C,047600_C..S04R,Euclid Av,1
C,047950_C..N04R,168 St,0
C,048800_C..S04R,Euclid Av,1
C,049150_C..N04R,168 St,0
C,050000_C..S04R,Euclid Av,1
C,050350_C..N04R,168 St,0
C,051200_C..S04R,Euclid Av,1
C,051550_C..N04R,168 St,0
C,052400_C..S04R,Euclid Av,1
C,052750_C..N04R,168 St,0
C,053600_C..S04R,Euclid Av,1
C,053950_C..N04R,168 St,0
C,054800_C..S04R,Euclid Av,1
C,055150_C..N04R,168 St,0
C,056000_C..S04R,Euclid Av,1
C,056350_C..N04R,168 St,0
C,057200_C..S04R,Euclid Av,1
C,057550_C..N04R,168 St,0
C,058400_C..S04R,Euclid Av,1
C,058750_C..N04R,168 St,0
C,059600_C..S04R,Euclid Av,1
C,059950_C..N04R,168 St,0
C,060800_C..S04R,Euclid Av,1
C,061150_C..N04R,168 St,0
C,062000_C..S04R,Euclid Av,1
C,062350_C..N04R,168 St,0
C,063200_C..S04R,Euclid Av,1
C,063550_C..N04R,168 St,0
C,064400_C..S04R,Euclid Av,1
C,064750_C..N04R,168 St,0
C,065600_C..S04R,Euclid Av,1
C,065950_C..N04R,168 St,0
C,066800_C..S04R,Euclid Av,1
C,067150_C..N04R,168 St,0
C,068000_C..S04R,Euclid Av,1
C,068350_C..N04R,168 St,0
C,069200_C..S04R,Euclid Av,1
C,069550_C..N04R,168 St,0
C,070400_C..S04R,Euclid Av,1
C,070750_C..N04R,168 St,0
C,071600_C..S04R,Euclid Av,1
C,071950_C..N04R,168 St,0
C,072800_C..S04R,Euclid Av,1
C,073150_C..N04R,168 St,0
C,074000_C..S04R,Euclid Av,1
C,074350_C..N04R,168 St,0
C,075200_C..S04R,Euclid Av,1
C,075550_C..N04R,168 St,0
C,076400_C..S04R,Euclid Av,1
C,076750_C..N04R,168 St,0
C,077600_C..S04R,Euclid Av,1
C,077950_C..N04R,168 St,0
C,078800_C..S04R,Euclid Av,1
C,079150_C..N04R,168 St,0
C,080000_C..S04R,Euclid Av,1
C,080350_C..N04R,168 St,0
C,081200_C..S04R,Euclid Av,1
C,081550_C..N04R,168 St,0
C,082400_C..S04R,Euclid Av,1
C,082750_C..N04R,168 St,0
C,083600_C..S04R,Euclid Av,1
C,083950_C..N04R,168 St,0
C,084800_C..S04R,Euclid Av,1
C,085150_C..N04R,168 St,0
C,086000_C..S04R,Euclid Av,1
C,086350_C..N04R,168 St,0
C,087200_C..S04R,Euclid Av,1
C,087550_C..N04R,168 St,0
C,088400_C..S04R,Euclid Av,1
C,088750_C..N04R,168 St,0
C,089600_C..S04R,Euclid Av,1
C,089950_C..N04R,168 St,0
C,090800_C..S04R,Euclid Av,1
C,091150_C..N04R,168 St,0
C,092000_C..S04R,Euclid Av,1
C,092350_C..N04R,168 St,0
C,093200_C..S04R,Euclid Av,1
C,093550_C..N04R,168 St,0
C,094400_C..S04R,Euclid Av,1
C,094750_C..N04R,168 St,0
C,095600_C..S04R,Euclid Av,1
C,095950_C..N04R,168 St,0
C,096800_C..S04R,Euclid Av,1
C,097150_C..N04R,168 St,0
C,098000_C..S04R,Euclid Av,1
C,098350_C..N04R,168 St,0
C,099200_C..S04R,Euclid Av,1
C,099550_C..N04R,168 St,0
C,100400_C..S04R,Euclid Av,1
C,100750_C..N04R,168 St,0
C,101600_C..S04R,Euclid Av,1
C,101950_C..N04R,168 St,0
C,102800_C..S04R,Euclid Av,1
C,103150_C..N04R,168 St,0
C,104000_C..S04R,Euclid Av,1
C,104350_C..N04R,168 St,0
C,105200_C..S04R,Euclid Av,1
C,105550_C..N04R,168 St,0
C,106400_C..S04R,Euclid Av,1
C,106750_C..N04R,168 St,0
C,107600_C..S04R,Euclid Av,1
C,107950_C..N04R,168 St,0
C,108800_C..S04R,Euclid Av,1
C,109150_C..N04R,168 St,0
C,110000_C..S04R,Euclid Av,1
C,110350_C..N04R,168 St,0
C,111200_C..S04R,Euclid Av,1
C,111550_C..N04R,168 St,0
C,112400_C..S04R,Euclid Av,1
C,112750_C..N04R,168 St,0
C,113600_C..S04R,Euclid Av,1
C,113950_C..N04R,168 St,0
C,114800_C..S04R,Euclid Av,1
C,115150_C..N04R,168 St,0
C,116000_C..S04R,Euclid Av,1
C,116350_C..N04R,168 St,0
C,117200_C..S04R,Euclid Av,1
C,117550_C..N04R,168 St,0
C,118400_C..S04R,Euclid Av,1
C,118750_C..N04R,168 St,0
C,119600_C..S04R,Euclid Av,1
C,119950_C..N04R,168 St,0
C,120800_C..S04R,Euclid Av,1
C,121150_C..N04R,168 St,0
C,122000_C..S04R,Euclid Av,1
C,122350_C..N04R,168 St,0
C,123200_C..S04R,Euclid Av,1
C,123550_C..N04R,168 St,0
C,124400_C..S04R,Euclid Av,1
C,124750_C..N04R,168 St,0
C,125600_C..S04R,Euclid Av,1
C,125950_C..N04R,168 St,0
C,126800_C..S04R,Euclid Av,1
C,127150_C..N04R,168 St,0
C,128000_C..S04R,Euclid Av,1
C,128350_C..N04R,168 St,0
C,129200_C..S04R,Euclid Av,1
C,129550_C..N04R,168 St,0
C,130400_C..S04R,Euclid Av,1
C,130750_C..N04R,168 St,0
C,131600_C..S04R,Euclid Av,1
C,131950_C..N04R,168 St,0
C,132950_C..S04R,Euclid Av,1
C,133150_C..N04R,168 St,0
C,134500_C..N04R,168 St,0
